,codmunres,year,cs_sexo,faixa,count
363,120010.0,2017.0,1,3539,1
364,120010.0,2018.0,2,509,1
365,120017.0,2017.0,1,4044,1
366,120017.0,2017.0,2,509,1
367,120020.0,2017.0,1,4,1
368,120020.0,2018.0,1,2024,1
369,120020.0,2018.0,1,3539,1
370,120020.0,2018.0,1,5054,1
371,120020.0,2018.0,1,5559,1
372,120020.0,2018.0,2,3034,1
373,120020.0,2018.0,2,3539,1
374,120020.0,2018.0,2,4,1
375,120020.0,2018.0,2,4549,1
376,120020.0,2018.0,2,509,1
377,120020.0,2018.0,2,6569,1
378,120025.0,2016.0,1,2024,1
379,120025.0,2016.0,1,5054,1
380,120025.0,2016.0,2,4549,1
381,120025.0,2017.0,1,4,1
382,120034.0,2016.0,2,4044,1
383,120035.0,2018.0,1,2529,1
384,120040.0,2016.0,1,1014,1
385,120040.0,2016.0,1,1519,8
386,120040.0,2016.0,1,2024,12
387,120040.0,2016.0,1,2529,17
388,120040.0,2016.0,1,3034,11
389,120040.0,2016.0,1,3539,6
390,120040.0,2016.0,1,4,3
391,120040.0,2016.0,1,4044,2
392,120040.0,2016.0,1,4549,1
393,120040.0,2016.0,1,5054,2
394,120040.0,2016.0,2,1014,1
395,120040.0,2016.0,2,1519,1
396,120040.0,2016.0,2,2024,5
397,120040.0,2016.0,2,2529,3
398,120040.0,2016.0,2,3034,3
399,120040.0,2016.0,2,3539,2
400,120040.0,2016.0,2,4,4
401,120040.0,2016.0,2,4549,1
402,120040.0,2016.0,2,5054,1
403,120040.0,2016.0,2,5559,1
404,120040.0,2016.0,2,6064,1
405,120040.0,2017.0,1,2024,2
406,120040.0,2017.0,1,2529,1
407,120040.0,2017.0,1,509,1
408,120040.0,2017.0,1,7074,1
409,120040.0,2018.0,1,2529,2
410,120040.0,2018.0,1,3539,1
411,120040.0,2018.0,1,4,1
412,120040.0,2018.0,2,509,1
413,120040.0,2019.0,1,1014,6
414,120040.0,2019.0,1,1519,3
415,120040.0,2019.0,1,2024,9
416,120040.0,2019.0,1,2529,1
